id,member,contextStrings,affinity1,dialogKey1,affinity2,dialogKey2,affinity3,dialogKey3,dialogString1,dialogString2,dialogString3
11010505-2,Jin,"[""Manager... Are you busy?""]",80,SMS_M_Jin_36_02_01,104,SMS_M_Jin_36_03_01,0,0,Nope nope not at all!,&A little but it's okay. What's up?,
11010505-10,Jin,"[""Manager... Are you busy?"","")Wait... This sounds a lot like a goodbye?""]",104,SMS_M_Jin_36_05_01,80,SMS_M_Jin_36_06_01,0,0,I don't understand?,This is so sudden!,
11010818-3,Jin,"[""Manager are you sleeping?"",""IThinking about flying back to Korea tomorrow makes it hard to fall asleep""]",208,SMS_M_Jin_74_02_01,160,SMS_M_Jin_74_03_01,0,0,I can't sleep either,I'm sleeping,
11010903-4,Jin,"[""Did you miss me?"",""You can answer honestly""]",104,SMS_M_Jin_78_02_01,80,SMS_M_Jin_78_03_01,0,0,To the moon and back,I didn't miss you that much,
11010903-13,Jin,"[""Did you miss me?"",""B1. Seok Jin's face2. Seok Jin's cooking3. Seok Jin's dad jokes""]",104,SMS_M_Jin_78_05_01,56,SMS_M_Jin_78_06_01,80,SMS_M_Jin_78_07_01,Number 1,Number 2,Number 3
11011126-13,Jin,"[""Hewwo"",""%and awakened as the true eldest hyung""]",208,SMS_M_Jin_104_02_01,160,SMS_M_Jin_104_03_01,112,SMS_M_Jin_104_04_01,I'm glad you're the eldest,$You do fit the dongsaeng line better,You give off an only child vibe
11020409-3,Suga,"[""6Thankfully the troll hasn't posted any more, Manager"",""!I think it's safe to relax now!""]",69,SMS_M_Suga_32_02_01,53,SMS_M_Suga_32_03_01,0,0,"1Huh? It's the most handsome of them all, Yunki!",I wasn't worried at all?,
11020409-14,Suga,"[""6Thankfully the troll hasn't posted any more, Manager"",""QThe other members are sad that their first fan hasn't been commenting lately...""]",69,SMS_M_Suga_32_05_01,53,SMS_M_Suga_32_06_01,0,0,-Should I reveal their first fan's identity?,.How about you comment using your real account?,
11020409-21,Suga,"[""6Thankfully the troll hasn't posted any more, Manager"","":You seem so nice, Manager, but that's cold! T_T shupshup""]",69,SMS_M_Suga_32_08_01,53,SMS_M_Suga_32_09_01,37,SMS_M_Suga_32_10_01,Sorry... I'll stop teasing!,#Do you want me to keep it a secret?,3You don't sound like your usual self... Shupshup?
11020719-11,Suga,"[""Ahem..."",""It's not too late""]",104,SMS_M_Suga_64_02_01,56,SMS_M_Suga_64_03_01,80,SMS_M_Suga_64_04_01,I'll fly over right now!,At this hour?,I'll send one of the members
